Date,Name of Species,Small (in Rs.),Medium (in Rs.),Large (in Rs.)
13/1/2022,Greasy grouper,623.64,0,0
13/1/2022,Green mud crab,747.61,0,0
13/1/2022,Grey mullet,498.7,0,0
13/1/2022,Hound needle fish,533.19,0,0
13/1/2022,Indian mackerel,507.1,0,0
13/1/2022,Indian squid,548.89,0,0
13/1/2022,Indian white prawn,531.7,0,0
13/1/2022,Indo-pacific seer fish,963.6,0,0
13/1/2022,Japanese threadfin bream,481.68,0,0
13/1/2022,Jinga prawn,480.12,0,0
13/1/2022,John\'s snapper,665.24,0,0
13/1/2022,Kiddi shrimp,451.12,0,0
13/1/2022,Little tuna,569.65,0,0
13/1/2022,Long tail tuna,532.03,0,0
13/1/2022,Malabar anchovy,397.21,0,0
13/1/2022,Malabar blood snapper,516.8,0,0
13/1/2022,Malabar grouper,577.77,0,0
13/1/2022,Narrow-barred spanish mackerel,1002.23,0,0
13/1/2022,Pearl Spot,375.3,0,0
13/1/2022,Silver pomfret,657.91,0,0
13/1/2022,Small head hairtail,305.58,0,0
13/1/2022,Spineless cuttle fish,560.24,0,0
13/1/2022,Spiny cheek grouper,656.04,0,0
13/1/2022,Spotted crab,529.15,0,0
13/1/2022,Spotted eagle ray,666.62,0,0
14/1/2022,Asian Seabass,685,0,0
14/1/2022,Big eye trevally,579.28,0,0
14/1/2022,Black barred half beak,559.6,0,0
14/1/2022,Black pomfret,683.85,0,0
14/1/2022,Blue Swimming Crab,647.89,0,0
14/1/2022,Bombay duck,328.48,0,0
14/1/2022,Flower tail prawn,576.4,0,0
14/1/2022,Four finger thread fin,547.83,0,0
14/1/2022,Frigate tuna,390.06,0,0
14/1/2022,Giant catfish,557.41,0,0
14/1/2022,Giant tiger prawn,469.95,0,0
14/1/2022,Gold spot mullet,560.29,0,0
14/1/2022,Gold spotted granadier anchovy,258.26,0,0
14/1/2022,Greasy grouper,526.99,0,0
14/1/2022,Green mud crab,695.52,0,0
14/1/2022,Grey mullet,502.96,0,0
14/1/2022,Hound needle fish,506.54,0,0
14/1/2022,Indian mackerel,436.63,0,0
14/1/2022,Indian squid,525.26,0,0
14/1/2022,Indian white prawn,494.89,0,0
14/1/2022,Indo-pacific seer fish,890.04,0,0
14/1/2022,Japanese threadfin bream,404.84,0,0
14/1/2022,Jinga prawn,484.86,0,0
14/1/2022,John\'s snapper,565.66,0,0
14/1/2022,Kiddi shrimp,397.48,0,0
14/1/2022,Little tuna,535.06,0,0
14/1/2022,Long tail tuna,453.05,0,0
14/1/2022,Malabar anchovy,366.99,0,0
14/1/2022,Malabar blood snapper,475.01,0,0
14/1/2022,Malabar grouper,529.34,0,0
14/1/2022,Narrow-barred spanish mackerel,960.35,0,0
14/1/2022,Pearl Spot,346.88,0,0
14/1/2022,Silver pomfret,631.35,0,0
14/1/2022,Small head hairtail,273.4,0,0
14/1/2022,Spineless cuttle fish,539.64,0,0
14/1/2022,Spiny cheek grouper,606.8,0,0
14/1/2022,Spotted crab,553.35,0,0
14/1/2022,Spotted eagle ray,585.02,0,0
15/1/2022,Asian Seabass,806.02,0,0
15/1/2022,Big eye trevally,682.25,0,0
15/1/2022,Black barred half beak,664.02,0,0
15/1/2022,Black pomfret,819.84,0,0
15/1/2022,Blue Swimming Crab,756.69,0,0
15/1/2022,Bombay duck,395.93,0,0
15/1/2022,Flower tail prawn,724.33,0,0
15/1/2022,Four finger thread fin,666.58,0,0
15/1/2022,Frigate tuna,464.65,0,0
15/1/2022,Giant catfish,710.71,0,0
15/1/2022,Giant tiger prawn,558.33,0,0
15/1/2022,Gold spot mullet,625.2,0,0
15/1/2022,Gold spotted granadier anchovy,311.56,0,0
15/1/2022,Greasy grouper,650.45,0,0
15/1/2022,Green mud crab,815.27,0,0
15/1/2022,Grey mullet,585.42,0,0
15/1/2022,Hound needle fish,633.9,0,0
15/1/2022,Indian mackerel,520.38,0,0
15/1/2022,Indian squid,638.79,0,0
15/1/2022,Indian white prawn,626.45,0,0
15/1/2022,Indo-pacific seer fish,1112.94,0,0
15/1/2022,Japanese threadfin bream,524.71,0,0
15/1/2022,Jinga prawn,551.9,0,0
15/1/2022,John\'s snapper,731.07,0,0
15/1/2022,Kiddi shrimp,487.17,0,0
15/1/2022,Little tuna,648.6,0,0
15/1/2022,Long tail tuna,586.86,0,0
15/1/2022,Malabar anchovy,442.63,0,0
15/1/2022,Malabar blood snapper,634.8,0,0
15/1/2022,Malabar grouper,618.98,0,0
15/1/2022,Narrow-barred spanish mackerel,1099.58,0,0
15/1/2022,Pearl Spot,403.34,0,0
15/1/2022,Silver pomfret,787.68,0,0
15/1/2022,Small head hairtail,353.95,0,0
15/1/2022,Spineless cuttle fish,621.62,0,0
15/1/2022,Spiny cheek grouper,736.83,0,0
15/1/2022,Spotted crab,609.11,0,0
15/1/2022,Spotted eagle ray,716.88,0,0
16/1/2022,Asian Seabass,831.06,0,0
16/1/2022,Big eye trevally,660.07,0,0
16/1/2022,Black barred half beak,658.18,0,0
16/1/2022,Black pomfret,831.07,0,0
16/1/2022,Blue Swimming Crab,729.87,0,0
16/1/2022,Bombay duck,389.85,0,0
